dataset,image_id,image_path,mask_path,image_domain,overlaps_isic2019,isic2019_split,isic2019_lesion_id,isic2019_lesion_status,cv2_eligible
isic2018_task1,ISIC_0000000,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000000.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000000_segmentation.png,dermoscopic,True,train,,unknown,True
isic2018_task1,ISIC_0000001,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000001.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000001_segmentation.png,dermoscopic,True,train,,unknown,True
isic2018_task1,ISIC_0000003,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000003.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000003_segmentation.png,dermoscopic,True,train,,unknown,True
isic2018_task1,ISIC_0000004,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000004.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000004_segmentation.png,dermoscopic,True,train,,unknown,True
isic2018_task1,ISIC_0000006,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000006.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000006_segmentation.png,dermoscopic,True,train,,unknown,True
isic2018_task1,ISIC_0000007,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000007.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000007_segmentation.png,dermoscopic,True,train,,unknown,True
isic2018_task1,ISIC_0000008,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000008.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000008_segmentation.png,dermoscopic,True,train,,unknown,True
isic2018_task1,ISIC_0000009,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000009.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000009_segmentation.png,dermoscopic,True,train,,unknown,True
isic2018_task1,ISIC_0000011,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000011.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000011_segmentation.png,dermoscopic,True,train,,unknown,True
isic2018_task1,ISIC_0000012,data/raw/isic2018/images/ISIC2018_Task1-2_Training_Input/ISIC_0000012.jpg,data/raw/isic2018/masks/ISIC2018_Task1_Training_GroundTruth/ISIC_0000012_segmentation.png,dermoscopic,True,train,,unknown,True
